title	url
738. Do you remember…? with Mum, Dad & James / Family Stories with The Thompsons	https://teacherluke.co.uk/2021/09/02/738-do-you-remember-with-mum-dad-james-family-stories-with-the-thompsons/
737. A Summer Ramble 2 (Late August 2021)	https://teacherluke.co.uk/2021/08/26/737-a-summer-ramble-2-late-august-2021/
736. The War of the Worlds by H.G. Wells [Part 3] Learn English with Stories	https://teacherluke.co.uk/2021/08/11/736-the-war-of-the-worlds-by-h-g-wells-part-3-learn-english-with-stories/
735. The War of the Worlds by H.G. Wells [Part 2] Learn English with Stories	https://teacherluke.co.uk/2021/08/11/735-the-war-of-the-worlds-by-h-g-wells-part-2-learn-english-with-stories/
734. The War of the Worlds by H.G. Wells [Part 1] Learn English with Stories	https://teacherluke.co.uk/2021/08/11/734-the-war-of-the-worlds-by-h-g-wells-part-1-learn-english-with-stories/
733. A Summer Ramble	https://teacherluke.co.uk/2021/08/03/733-a-summer-ramble/
732. Christian from Canguro English returns	https://teacherluke.co.uk/2021/07/29/732-christian-from-canguro-english-returns/
731. Beatles Song Lyrics / Idioms & Expressions (with Antony Rotunno)	https://teacherluke.co.uk/2021/07/25/731-beatles-song-lyrics-idioms-expressions-with-antony-rotunno/
730. Marie Connolly Returns (+ 2 songs)	https://teacherluke.co.uk/2021/07/19/730-marie-connolly-returns-2-songs/
729. TOEFL and the Duolingo English Test (with Josh MacPherson from TSTPrep.com)	https://teacherluke.co.uk/2021/07/13/729-toefl-and-the-duolingo-english-test-with-josh-macpherson-from-tstprep-com/
728. English with Rob / Games, Music & Jingles	https://teacherluke.co.uk/2021/07/05/728-english-with-rob-games-music-jingles/
727. Describing John Lennon / Adjectives of Personality J-Z (with Antony Rotunno)	https://teacherluke.co.uk/2021/06/30/727-describing-john-lennon-adjectives-of-personality-j-z-with-antony-rotunno/
726. Describing John Lennon / Adjectives of Personality A-I (with Antony Rotunno)	https://teacherluke.co.uk/2021/06/26/726-describing-john-lennon-adjectives-of-personality-a-i-with-antony-rotunno/
725. Fun & Games for Learning English with Vickie Kelty	https://teacherluke.co.uk/2021/06/17/725-fun-games-for-learning-english-with-vickie-kelty/
724. The Mountain (Short Story) + Video	https://teacherluke.co.uk/2021/06/11/724-the-mountain-short-story-video/
723. Bahar from Iran  (WISBOLEP Runner-Up)	https://teacherluke.co.uk/2021/06/04/723-bahar-from-iran-wisbolep-runner-up/
722. Discussing John Lennon with Antony Rotunno	https://teacherluke.co.uk/2021/05/29/722-discussing-john-lennon-with-antony-rotunno/
721. Collins Dictionary Word Quizzes / Confusing Words with Fred Eyangoh	https://teacherluke.co.uk/2021/05/24/721-collins-dictionary-word-quizzes-with-fred-eyangoh/
720. How Fred Learns Vocabulary with the New York Times Spelling Bee (with Fred Eyangoh)	https://teacherluke.co.uk/2021/05/18/720-how-fred-learns-vocabulary-with-the-new-york-times-spelling-bee-with-fred-eyangoh/
719. Amber & Paul are on the Podcast	https://teacherluke.co.uk/2021/05/10/719-amber-paul-are-on-the-podcast/
718. Michael the Shaman  (WISBLOEP Runner-Up)	https://teacherluke.co.uk/2021/05/03/718-michael-the-shaman-wisbloep-runner-up/
717. Gill’s Book Club: “One Two Three Four – The Beatles In Time” by Craig Brown	https://teacherluke.co.uk/2021/04/27/717-gills-book-club-one-two-three-four-the-beatles-in-time-by-craig-brown/
716. Interview with a Pop Star from the 1960s – Megan Brady from The Applejacks	https://teacherluke.co.uk/2021/04/22/716-interview-with-a-pop-star-from-the-1960s-megan-brady-from-the-applejacks/
715. Catching up with Craig Wealand [LEP/AIRC Swapcast]	https://teacherluke.co.uk/2021/04/16/715-catching-up-with-craig-wealand-lep-airc-swapcast/
714. Robin from Hamburg  (WISBOLEP Runner-Up)	https://teacherluke.co.uk/2021/04/11/714-robin-from-hamburg-%f0%9f%87%a9%f0%9f%87%aa-wisbolep-runner-up/
713. Lucky Dip with Paul Taylor	https://teacherluke.co.uk/2021/04/07/713-lucky-dip-with-paul-taylor/
712. A Chat with Charlie Baxter	https://teacherluke.co.uk/2021/04/03/712-a-chat-with-charlie-baxter/
711. William from France  (WISBOLEP Runner-UP)	https://teacherluke.co.uk/2021/03/26/711-william-from-france-%f0%9f%87%ab%f0%9f%87%b7-wisbolep-runner-up/
710. The Umbrella Man by Roald Dahl (Short Story)	https://teacherluke.co.uk/2021/03/17/710-the-umbrella-man-by-roald-dahl-short-story/
709. The Stoicism of Groundhog Day (with Mum)	https://teacherluke.co.uk/2021/03/11/709-the-stoicism-of-groundhog-day-with-mum/
708. Tasha Liu from China (WISBOLEP Runner-Up)	https://teacherluke.co.uk/2021/03/05/708-tasha-liu-from-china-wisbolep-runner-up/
707. [2/2] Let’s Play Another Text Adventure Game – “Zombolocaust” by Peter Carlson	https://teacherluke.co.uk/2021/03/01/707-2-2-lets-play-another-text-adventure-game-zombolocaust-by-peter-carlson/
706. [1/2] Let’s Play Another Text Adventure Game – “Zombolocaust” by Peter Carlson	https://teacherluke.co.uk/2021/02/27/706-1-2-lets-play-another-text-adventure-game-zombolocaust-by-peter-carlson/
705. Kate Billington Returns (and she brought cake)	https://teacherluke.co.uk/2021/02/24/705-kate-billington-returns-and-she-brought-cake/
704. The Rick Thompson Report: Brexit Update (February 2021)	https://teacherluke.co.uk/2021/02/11/704-the-rick-thompson-report-brexit-update-february-2021/
703. Walaa from Syria – WISBOLEP Competition Winner	https://teacherluke.co.uk/2021/02/03/703-walaa-from-syria-wisbolep-competition-winner-%f0%9f%8f%86/
702. Emergency Questions (with James)	https://teacherluke.co.uk/2021/01/25/702-emergency-questions-with-james/
701. Legal English with Louise Kulbicki	https://teacherluke.co.uk/2021/01/19/701-legal-english-with-louise-kulbicki/
700. Marooned With My Music: Luke Thompson	https://teacherluke.co.uk/2021/01/13/700-marooned-with-my-music-luke-thompson/
699. Welcome (back) to Luke’s English Podcast / FAQ (January 2021)	https://teacherluke.co.uk/2021/01/07/699-welcome-back-to-lukes-english-podcast-faq-january-2021/
698. Paul is on the Podcast / Random Questions with Paul Taylor	https://teacherluke.co.uk/2020/12/23/698-paul-is-on-the-podcast-random-questions-with-paul-taylor/
697. 11 Christmas Cracker Jokes for 2020, Explained	https://teacherluke.co.uk/2020/12/18/697-11-christmas-cracker-jokes-for-2020-explained/
696. WISBOLEP Competition Results + RAMBLE	https://teacherluke.co.uk/2020/12/16/696-wisbolep-competition-results-ramble/
695. Pronunciation, Pragmatics & Procrastination with Emma	https://teacherluke.co.uk/2020/12/11/695-pronunciation-pragmatics-procrastination-with-emma/
694. The Crown / The Royal Family (A Royal Ramble with My Wife)	https://teacherluke.co.uk/2020/12/07/694-the-crown-the-royal-family-a-royal-ramble-with-my-wife/
693. English With Lucy / A Conversation with Lucy Earl	https://teacherluke.co.uk/2020/11/30/693-english-with-lucy-a-conversation-with-lucy-earl/
692. WISBOLEP Competition Entries – Listen & Vote!	https://teacherluke.co.uk/2020/11/23/wisbolep/
691. Jerome Butler – Dialect Coach	https://teacherluke.co.uk/2020/11/18/691-jerome-butler-dialect-coach/
690. Urban vs Rural / Living Abroad / Cultural Differences (with Cara Leopold)	https://teacherluke.co.uk/2020/11/12/690-urban-vs-rural-living-abroad-cultural-differences-with-cara-leopold/
689. Baking Cakes, Telling Jokes & Speaking Chinese with Kate Billington	https://teacherluke.co.uk/2020/11/06/689-baking-cakes-telling-jokes-speaking-chinese-with-kate-billington/
688. Sean Connery	https://teacherluke.co.uk/2020/11/02/689-sean-connery/
687. WISBOLEP Problem / Polite Requests / An Inspiring Email / Fly Me To the Moon	https://teacherluke.co.uk/2020/10/29/687-wisbolep-problem-polite-requests-an-inspiring-email-fly-me-to-the-moon/
686. Christian from Canguro English	https://teacherluke.co.uk/2020/10/27/686-christian-from-canguro-english/
685. Raising Bilingual Children [1] Alex and his daughter Alice, in Moscow	https://teacherluke.co.uk/2020/10/21/685-raising-bilingual-children-1-alex-and-his-daughter-alice-in-moscow/
684. Chasing the Tangent Train with Elspeth Graty	https://teacherluke.co.uk/2020/10/15/684-chasing-the-tangent-train-with-elspeth-graty/
683. Feelgood Stories of Flirting with Marie Connolly	https://teacherluke.co.uk/2020/10/09/683-feelgood-stories-of-flirting-with-marie-connolly/
682. Key Features of English Accents, Explained	https://teacherluke.co.uk/2020/09/25/682-key-features-of-english-accents-explained/
681. New Competition: Why I Should Be On LEP (WISBOLEP) / Story: The First Time I Said F*ck	https://teacherluke.co.uk/2020/09/16/681-new-competition-why-i-should-be-on-lep-wisbolep-story-the-first-time-i-said-fck/
680. Park Life – A Year in The Wildlife Of An Urban Park (by Rick Thompson) / Animal Collective Nouns	https://teacherluke.co.uk/2020/09/09/680-park-life-a-year-in-the-wildlife-of-an-urban-park-by-rick-thompson-animal-collective-nouns/
679. Gill’s Book Club: A Gentleman In Moscow	https://teacherluke.co.uk/2020/09/04/679-gills-book-club-a-gentleman-in-moscow/
678. The Vintage Furniture Trade in London (with Howard Roach)	https://teacherluke.co.uk/2020/08/28/678-the-vintage-furniture-trade-in-london-with-howard-roach/
677. A Post-Holiday Ramble / Holiday Vocab / Stories	https://teacherluke.co.uk/2020/08/21/677-a-post-holiday-ramble-holiday-vocab-stories/
676. David Crystal: Let’s Talk – How English Conversation Works	https://teacherluke.co.uk/2020/08/01/676-david-crystal-lets-talk-how-english-conversation-works/
675. An Unplanned Pre-Holiday Ramble (July 2020)	https://teacherluke.co.uk/2020/07/24/675-an-unplanned-pre-holiday-ramble-july-2020/
674. 19 Amusing Insurance Claims / Car Crash Vocabulary	https://teacherluke.co.uk/2020/07/16/674-19-amusing-insurance-claims-car-crash-vocabulary/
673. Conspiracies / UFOs / Life Hacks (with James)	https://teacherluke.co.uk/2020/07/07/673-conspiracies-ufos-life-hacks-with-james/
672. The Rick Thompson Report: COVID / BREXIT / BLM (July 2020)	https://teacherluke.co.uk/2020/07/03/672-the-rick-thompson-report-covid-brexit-blm-july-2020/
671. Aussie English with Pete Smissen	https://teacherluke.co.uk/2020/06/30/671-aussie-english-with-pete-smissen/
670. Language Learning with James Harris	https://teacherluke.co.uk/2020/06/22/670-language-learning-with-james-harris/
669. How to Learn English	https://teacherluke.co.uk/2020/06/18/669-how-to-learn-english/
668. LEP LIVE! Ask Me Anything / Hang Out With Luke (AUDIO VERSION)	https://teacherluke.co.uk/2020/06/13/668-lep-live-ask-me-anything-hang-out-with-luke-audio-version/
667. Four Way Call (with Alex, Moz & Paul)	https://teacherluke.co.uk/2020/06/08/667-four-way-call-with-alex-moz-paul/
666. [Part 3] Favourite Scary Films (with James)	https://teacherluke.co.uk/2020/05/29/666-part-3-favourite-scary-films-with-james/
666. [Part 2] Frightening Experiences (with James)	https://teacherluke.co.uk/2020/05/27/666-part-2-frightening-experiences-with-james/
666. [Part 1] The Number of the Beast / Scary Music / Black Sabbath (with James)	https://teacherluke.co.uk/2020/05/25/666-part-1-the-number-of-the-beast-scary-music-black-sabbath-with-james/
665. A Chinwag with Sebastian Marx / 18+ British slang phrases that Americans don’t understand	https://teacherluke.co.uk/2020/05/20/665-a-chinwag-with-sebastian-marx-18-british-slang-phrases-that-americans-dont-understand/
664. Lockdown Ramble with My Wife	https://teacherluke.co.uk/2020/05/15/664-lockdown-ramble-with-my-wife/
663. The Lockdown Lying Game with Amber & Paul	https://teacherluke.co.uk/2020/05/04/663-the-lockdown-lying-game-with-amber-paul/
662. Catching Up with Amber & Paul #10 (Surviving Lockdown with Kids)	https://teacherluke.co.uk/2020/04/29/662-catching-up-with-amber-paul-10-surviving-lockdown-with-kids/
661. An Englishman in Los Angeles (with Oli)	https://teacherluke.co.uk/2020/04/17/661-an-englishman-in-los-angeles-headhunted-by-netflix-divided-by-a-common-language-with-oli-thompson/
660. Using TV Series & Films to Improve Your English	https://teacherluke.co.uk/2020/04/14/660-using-tv-series-films-to-improve-your-english/
659. Lockdown Chat with Cara Leopold	https://teacherluke.co.uk/2020/04/11/659-lockdown-chat-with-cara-leopold/
658. [2/2] Why do Brits sing with American accents?	https://teacherluke.co.uk/2020/04/08/658-2-2-why-do-brits-sing-with-american-accents/
657. [1/2] Why do Brits sing with American accents?	https://teacherluke.co.uk/2020/04/07/657-1-2-why-do-brits-sing-with-american-accents/
656. British Comedy: Karl Pilkington’s Monkey News / The Ricky Gervais Show	https://teacherluke.co.uk/2020/03/31/656-british-comedy-karl-pilkingtons-monkey-news-the-ricky-gervais-show/
655. Coping with Isolation / Describing Feelings and Emotions – Vocabulary & Experiences	https://teacherluke.co.uk/2020/03/28/655-coping-with-isolation-describing-feelings-and-emotions-vocabulary-experiences/
654. Computer-based IELTS / Stories about The First Time… (with Jessica Beck from IELTS Energy Podcast)	https://teacherluke.co.uk/2020/03/23/654-computer-based-ielts-stories-about-the-first-time-with-jessica-beck-from-ielts-energy-podcast/
653. Gill’s Book Club – “The Five: The Untold Lives of the Women Killed by Jack the Ripper” by Hallie Rubenhold / How to read books to improve your English	https://teacherluke.co.uk/2020/03/20/653-gills-book-club-the-five-the-untold-lives-of-the-women-killed-by-jack-the-ripper-by-hallie-rubenhold/
652. The Rick Thompson Report: Coronavirus (COVID-19)	https://teacherluke.co.uk/2020/03/13/652-the-rick-thompson-report-coronavirus-covid-19/
651. Coronavirus (COVID-19) Vocabulary	https://teacherluke.co.uk/2020/03/13/651-coronavirus-covid-19-vocabulary/
650. British Music: Jungle (with James)	https://teacherluke.co.uk/2020/03/10/650-british-music-jungle-with-james/
649. An Unedited Ramble (March 2020) Never Explain, Never Apologise? / No Stress / Method To The Madness / 3 Songs on Guitar	https://teacherluke.co.uk/2020/03/05/649-an-unedited-ramble-march-2020-never-explain-never-apologise-no-stress-method-to-the-madness-3-songs-on-guitar/
648. Ian Moore Returns	https://teacherluke.co.uk/2020/02/24/648-ian-moore-returns/
647. British Comedy: Alan Partridge (Part 6)	https://teacherluke.co.uk/2020/02/21/647-british-comedy-alan-partridge-part-6/
646. British Comedy: Alan Partridge (Part 5)	https://teacherluke.co.uk/2020/02/20/646-british-comedy-alan-partridge-part-5/
645. British Comedy: Alan Partridge (Part 4)	https://teacherluke.co.uk/2020/02/17/645-british-comedy-alan-partridge-part-4/
644. The Rick Thompson Report: Is Brexit Done?	https://teacherluke.co.uk/2020/02/14/644-the-rick-thompson-report-is-brexit-done/
643. The Intercultural Communication Dance with Sherwood Fleming	https://teacherluke.co.uk/2020/02/11/643-the-intercultural-communication-dance-with-sherwood-fleming/
642. The Lying Game Returns (with Amber & Paul)	https://teacherluke.co.uk/2020/02/06/642-the-lying-game-returns-with-amber-paul/
641. Catching Up with Amber & Paul #9	https://teacherluke.co.uk/2020/02/02/641-catching-up-with-amber-paul-9/
640. IELTS Speaking Success with Keith O’Hare	https://teacherluke.co.uk/2020/01/28/640-ielts-speaking-success-with-keith-ohare/
639. 3 Quintessentially British Books (that you might not know about) with Mum	https://teacherluke.co.uk/2020/01/23/639-3-quintessentially-british-books-that-you-might-not-know-about-with-mum/
638. 3 Quintessentially British Things (that you might not know about) with Dad	https://teacherluke.co.uk/2020/01/19/638-3-quintessentially-british-things-that-you-might-not-know-about-with-dad/
637. 5 Quintessentially English Things (that you might not know about) with James	https://teacherluke.co.uk/2020/01/14/637-5-quintessentially-english-things-that-you-might-not-know-about-with-james/
636. James & Luke Discuss Star Wars IX (SPOILERS) Final Star Wars Episode Ever?	https://teacherluke.co.uk/2020/01/10/636-james-luke-discuss-star-wars-ix-spoilers-final-star-wars-episode-ever/
635. A New Year Ramble for 2020 (Part 2) Motivation / New Year’s Rules / Bilingual Daughter / Neil Innes	https://teacherluke.co.uk/2020/01/08/635-a-new-year-ramble-for-2020-part-2-motivation-new-years-rules-bilingual-daughter-neil-innes/
634. A New Year Ramble for 2020 (Part 1)	https://teacherluke.co.uk/2020/01/06/634-a-new-year-ramble-for-2020-part-1/
633. Star Wars IX: The Rise of Skywalker (SPOILER REVIEW)	https://teacherluke.co.uk/2019/12/18/633-star-wars-ix-the-rise-of-skywalker-spoiler-review/
632. Star Wars IX: The Rise of Skywalker (No Spoilers!)	https://teacherluke.co.uk/2019/12/17/632-star-wars-ix-the-rise-of-skywalker-no-spoilers/
631. 29 Awful Christmas Jokes, Explained	https://teacherluke.co.uk/2019/12/16/631-29-awful-christmas-jokes-explained/
630. The English Guy with a Sitcom on Japanese TV (with BJ Fox)	https://teacherluke.co.uk/2019/12/09/630-the-english-guy-with-a-sitcom-on-japanese-tv-with-bj-fox/
629. Do you ever … ? (with James) Strange Habits & Funny Observations	https://teacherluke.co.uk/2019/12/02/629-do-you-ever-with-james-strange-habits-funny-observations/
628. OASIS (with James)	https://teacherluke.co.uk/2019/11/26/628-oasis-with-james/
627. Emina’s Long Journey to English Proficiency	https://teacherluke.co.uk/2019/11/19/627-eminas-long-journey-to-english-proficiency/
626. The Rick Thompson Report: Boris Johnson’s Brexit Deal / General Election / Football	https://teacherluke.co.uk/2019/11/13/626-the-rick-thompson-report-boris-johnsons-brexit-deal-general-election-football/
625. 88 English expressions that will confuse everyone (Part 2)	https://teacherluke.co.uk/2019/11/13/625-88-english-expressions-that-will-confuse-everyone-part-2/
624. 88 English expressions that will confuse everyone (Part 1)	https://teacherluke.co.uk/2019/11/07/624-88-english-expressions-that-will-confuse-everyone-part-1/
623. 13 Terrible Jokes, Explained	https://teacherluke.co.uk/2019/10/29/623-13-terrible-jokes-explained/
622. General Ramble (Oct 2019) Learning English / Politics / Recording Setup / Book Recommendation / Beatles / Star Wars / Bill Bailey	https://teacherluke.co.uk/2019/10/22/422-general-ramble-oct-2019-learning-english-politics-recording-setup-book-recommendation-beatles-star-wars-bill-bailey/
621. British TV: Dragons’ Den (Part 3) Discord in the Den	https://teacherluke.co.uk/2019/10/14/621-british-tv-dragons-den-part-3-discord-in-the-den/
620. British TV: Dragons’ Den (Part 2) Negotiation	https://teacherluke.co.uk/2019/10/11/620-british-tv-dragons-den-part-2-negotiation/
619. British TV: Dragons’ Den (Part 1) Vocabulary	https://teacherluke.co.uk/2019/10/09/619-british-tv-dragons-den-part-1-vocabulary/
618. The Climate Crisis Explained in 10 Charts (with Cara Leopold)	https://teacherluke.co.uk/2019/09/30/618-the-climate-crisis-explained-in-10-charts-with-cara-leopold/
617. Sales and Advertising (with Paul Taylor)	https://teacherluke.co.uk/2019/09/26/617-sales-and-advertising-with-paul-taylor/
616. Can you find the 15 idioms? (with Paul Taylor)	https://teacherluke.co.uk/2019/09/23/616-can-you-find-the-15-idioms-with-paul-taylor/
615. Paul Taylor Became a Dad, and you won’t believe what happened next	https://teacherluke.co.uk/2019/09/17/615-paul-taylor-became-a-dad-and-you-wont-believe-what-happened-next/
614. Another Murder Mystery Detective Story (Part 3)	https://teacherluke.co.uk/2019/09/13/614-another-murder-mystery-detective-story-part-3/
613. Another Murder Mystery Detective Story (Part 2)	https://teacherluke.co.uk/2019/09/09/613-another-murder-mystery-detective-story-part-2/
612. Another Murder Mystery Detective Story (Part 1)	https://teacherluke.co.uk/2019/09/06/612-another-murder-mystery-detective-story-part-1/
611. Top 10 Jokes from Edinburgh Fringe 2019	https://teacherluke.co.uk/2019/09/03/611-top-10-jokes-from-edinburgh-fringe-2019/
610. British Comedy: James Acaster	https://teacherluke.co.uk/2019/08/30/610-british-comedy-james-acaster/
609. The LEP MeetUp in London / Brexit / Talking to my Daughter	https://teacherluke.co.uk/2019/08/28/609-the-lep-meetup-in-london-brexit-talking-to-my-daughter/
608. The Mass Observation (with Mum)	https://teacherluke.co.uk/2019/08/21/608-the-mass-observation-with-mum/
607. The Rick Thompson Report: Boris Johnson PM / No Deal Brexit?	https://teacherluke.co.uk/2019/08/09/607-the-rick-thompson-report-boris-johnson-pm-no-deal-brexit/
606. The English Seaside (with James)	https://teacherluke.co.uk/2019/07/25/606-the-english-seaside-with-james/
605. Unexpected Road Trip (with James)	https://teacherluke.co.uk/2019/07/18/605-unexpected-road-trip-with-james/
604. London Native Speaker Interviews REVISITED Part 2	https://teacherluke.co.uk/2019/07/05/604-london-native-speaker-interviews-revisited-part-2/
603. Queen / Freddie Mercury / Bohemian Rhapsody	https://teacherluke.co.uk/2019/07/01/603-queen-freddie-mercury-bohemian-rhapsody/
602. British Comedy: The Day Today (Part 2)	https://teacherluke.co.uk/2019/06/27/602-british-comedy-the-day-today-part-2/
601. British Comedy: The Day Today (Part 1)	https://teacherluke.co.uk/2019/06/24/601-british-comedy-the-day-today-part-1/
600. Episode 600 YouTube Livestream – Ask Me Anything	https://teacherluke.co.uk/2019/06/08/600-episode-600-youtube-livestream-ask-me-anything/
599. Oliver Gee Returns with Stories to Tell	https://teacherluke.co.uk/2019/06/03/599-oliver-gee-returns-with-stories-to-tell/
598. The Rick Thompson Report: EU Elections / Theresa May / Brexit / Football	https://teacherluke.co.uk/2019/05/28/598-the-rick-thompson-report-eu-elections-theresa-may-brexit-football/
597. Growing Up / Getting Older / Becoming a Father (with Paul Taylor)	https://teacherluke.co.uk/2019/05/23/597-growing-up-getting-older-becoming-a-father-with-paul-taylor/
596. SLEEP with Amber & Paul	https://teacherluke.co.uk/2019/05/20/596-sleep-with-amber-paul/
595. Andy Johnson Returns (Part 2) Eating / TV Series / Football / Music	https://teacherluke.co.uk/2019/05/15/595-andy-johnson-returns-part-2-eating-tv-series-football-music/
594. Andy Johnson Returns (Part 1) Moving House / London vs Canterbury / English Teaching	https://teacherluke.co.uk/2019/05/13/594-andy-johnson-returns-part-1-moving-house-london-vs-canterbury-english-teaching/
593. Going through pages in an old diary	https://teacherluke.co.uk/2019/05/10/593-going-through-pages-in-an-old-diary/
592. It always seems impossible until it’s done	https://teacherluke.co.uk/2019/05/07/592-it-always-seems-impossible-until-its-done/
591. London Native Speaker Interviews REVISITED (Part 1)	https://teacherluke.co.uk/2019/04/29/591-london-native-speaker-interviews-revisited-part-1/
590. [2/2] Film Club: Avengers Endgame / Marvel Cinematic Universe (with Fred Eyangoh)	https://teacherluke.co.uk/2019/04/24/590-film-club-avengers-endgame-marvel-cinematic-universe-with-fred-eyangoh/
589. Film Club: Avengers Endgame / Marvel Cinematic Universe (with Fred Eyangoh)	https://teacherluke.co.uk/2019/04/23/589-film-club-avengers-endgame-marvel-cinematic-universe-with-fred-eyangoh/
588. Punctuation Rules / Book Review (Part 2) Apostrophe, Full Stop, Comma	https://teacherluke.co.uk/2019/04/19/588-punctuation-rules-book-review-part-2-apostrophe-full-stop-comma/
587. Punctuation Rules / Book Review (Part 1)	https://teacherluke.co.uk/2019/04/18/587-punctuation-rules-book-review-part-1/
586. The Importance of Listening	https://teacherluke.co.uk/2019/04/06/586-the-importance-of-listening/
585. Alternative British Citizenship Tests with Paul Taylor	https://teacherluke.co.uk/2019/03/29/585-alternative-british-citizenship-tests-with-paul-taylor/
584. Posh or not posh? (Part 3) with Amber & Paul	https://teacherluke.co.uk/2019/03/25/584-posh-or-not-posh-part-3-with-amber-paul/
583. British Comedy: The Dirty Fork / Restaurant Sketch (Monty Python)	https://teacherluke.co.uk/2019/03/20/583-british-comedy-the-dirty-fork-restaurant-sketch-monty-python/
